rank,drug_name,target,binding_score
799,cloperastine,New Target,2349.86
800,maprotiline hcl,New Target,2372.43
801,meclofenamic-acid,New Target,2386.3
802,flavoxate,New Target,2388.48
803,racepinephrine,New Target,2390.16
804,zaltoprofen,New Target,2394.83
805,cyamemazine,New Target,2397.28
806,oxymetazoline,New Target,2409.29
807,dexlansoprazole,New Target,2411.9
808,nedocromil,New Target,2413.74
809,segesterone-acetate,New Target,2419.45
810,segesterone,New Target,2420.27
811,succinylcholine-chloride,New Target,2425.86
812,phenyl-aminosalicylate,New Target,2453.97
813,rasagiline,New Target,2464.95
814,cibenzoline,New Target,2465.47
815,ingenol-mebutate,New Target,2471.35
816,xylometazoline,New Target,2477.25
817,lansoprazole,New Target,2477.85
818,cevimeline,New Target,2488.06
819,l-cystine,New Target,2489.4
820,thiopental,New Target,2496.71
821,loxapine,New Target,2505.73
822,pantoprazole (sodium),New Target,2509.43
823,acetylcholine,New Target,2517.24
824,efinaconazole,New Target,2546.12
825,carbidopa,New Target,2547.35
826,gabexate,New Target,2552.26
827,trifluoperazine,New Target,2556.93
828,palbociclib,New Target,2557.01
829,phenoxybenzamine,New Target,2566.75
830,amorolfine,New Target,2573.22
831,eprosartan,New Target,2574.45
832,serotonin,New Target,2584.4
833,podophyllotoxin,New Target,2599.05
834,lansoprazole,New Target,2610.61
835,upadacitinib,New Target,2619.06
836,lomefloxacin hcl,New Target,2619.6
837,ketorolac tromethamine,New Target,2620.52
838,mefloquine,New Target,2625.78
839,alogliptin,New Target,2628.99
840,selinexor,New Target,2635.88
841,amoxicillin,New Target,2642.63
842,alogliptin benzoate,New Target,2645.79
843,lomefloxacin,New Target,2650.28
844,pantoprazole,New Target,2653.47
845,sulphadimethoxine,New Target,2654.34
846,didanosine,New Target,2655.11
847,cefixime,New Target,2655.49
848,imiquimod,New Target,2658.0
849,chlorothiazide,New Target,2659.07
850,phloretin,New Target,2661.81
851,fleroxacin,New Target,2684.42
852,procarbazine,New Target,2686.31
853,bevantolol,New Target,2689.94
854,rilmenidine,New Target,2690.44
855,estrone,New Target,2694.34
856,triacetin,New Target,2695.13
857,cyproterone-acetate,New Target,2700.06
858,papaverine,New Target,2707.61
859,nimesulide,New Target,2708.14
860,tromaril,New Target,2709.34
861,pantoprazole,New Target,2729.68
862,dolutegravir,New Target,2734.92
863,aztreonam,New Target,2737.72
864,tenofovir,New Target,2751.97
865,ranitidine,New Target,2761.83
866,tetrahydrozoline,New Target,2762.28
867,netarsudil,New Target,2762.5
868,paroxetine,New Target,2763.14
869,dithranol,New Target,2775.29
870,ulifloxacin,New Target,2783.35
871,carbenicillin,New Target,2785.73
872,olanexidine,New Target,2789.04
873,entacapone,New Target,2805.21
874,methylene-blue,New Target,2827.34
875,temocapril,New Target,2846.69
876,ethynodiol-diacetate,New Target,2847.01
877,promethazine,New Target,2885.99
878,escitalopram oxalate,New Target,2888.56
879,uridine-triacetate,New Target,2888.58
880,sodium-tetradecyl-sulfate,New Target,2912.35
881,dicycloverine,New Target,2935.1
882,pitolisant,New Target,2936.93
883,talinolol,New Target,2938.18
884,demeclocycline,New Target,2941.54
885,lubiprostone,New Target,2946.45
886,dipivefrine,New Target,2960.29
887,alibendol,New Target,2966.26
888,doxapram,New Target,2977.1
889,mitomycin-c,New Target,2979.09
890,thiothixene,New Target,2987.02
891,stepronin,New Target,2992.86
892,flupentixol,New Target,3020.25
893,melphalan flufenamide,New Target,3038.47
894,trimipramine maleate,New Target,3038.52
895,promazine,New Target,3040.91
896,acebutolol hydrochloride,New Target,3042.51
897,efinaconazole,New Target,3054.35
898,cefradine,New Target,3055.65
899,phenprocoumon,New Target,3064.67
900,exemestane,New Target,3072.24
901,selegiline hydrochloride,New Target,3075.59
902,valganciclovir hydrochloride,New Target,3082.28
903,amsacrine,New Target,3095.91
904,dolasetron,New Target,3111.26
905,cephradine,New Target,3115.38
906,warfarin,New Target,3129.01
907,piperacetazine,New Target,3139.12
908,octinoxate,New Target,3141.28
909,gefitinib,New Target,3143.5
910,ftorafur,New Target,3151.51
911,anecortave-acetate,New Target,3157.27
912,ciclopirox,New Target,3159.45
913,buphenine,New Target,3181.87
914,crystal violet,New Target,3185.3
915,naproxen,New Target,3189.74
916,chlorphenamine,New Target,3216.33
917,rosuvastatin,New Target,3218.51
918,flumazenil,New Target,3236.42
919,flutamide,New Target,3248.64
920,silver-sulfadiazine,New Target,3252.81
921,pretomanid,New Target,3260.79
922,nitrendipine,New Target,3264.73
923,epalrestat,New Target,3268.99
924,fruquintinib,New Target,3269.09
925,melphalan flufenamide,New Target,3283.41
926,brivudine,New Target,3300.27
927,metyrapone,New Target,3312.14
928,fenspiride,New Target,3329.89
929,hydroflumethiazide,New Target,3330.39
930,anethole-trithione,New Target,3331.48
931,ramatroban,New Target,3348.18
932,vildagliptin,New Target,3356.69
933,naphazoline,New Target,3373.43
934,oxaprozin,New Target,3378.54
935,capecitabine,New Target,3384.48
936,ertugliflozin,New Target,3384.79
937,acebutolol,New Target,3408.22
938,drotaverine,New Target,3409.69
939,vildagliptin (laf-237),New Target,3410.97
940,enoximone,New Target,3426.01
941,oxethazaine,New Target,3443.24
942,octisalate,New Target,3481.37
943,alimemazine,New Target,3486.71
944,gemcitabine,New Target,3495.3
945,rufloxacin,New Target,3499.6
946,gemifloxacin,New Target,3505.51
947,acemetacin,New Target,3508.71
948,enalaprilat,New Target,3514.37
949,pirenzepine,New Target,3540.88
950,treosulfan,New Target,3557.24
951,dimenhydrinate,New Target,3558.9
952,butylphthalide,New Target,3562.87
953,propylthiouracil,New Target,3569.0
954,carbamazepine,New Target,3572.57
955,acepromazine,New Target,3580.62
956,etamsylate,New Target,3591.72
957,hydroxychloroquine sulfate,New Target,3610.46
958,rosiglitazone maleate,New Target,3611.82
959,empagliflozin,New Target,3620.82
960,clorprenaline,New Target,3627.64
961,duloxetine,New Target,3636.86
962,bumetanide,New Target,3640.35
963,polythiazide,New Target,3643.5
964,flubendazole,New Target,3643.73
965,fluphenazine,New Target,3656.22
966,drospirenone,New Target,3691.92
967,tofacitinib,New Target,3695.02
968,dexchlorpheniramine,New Target,3696.97
969,pramoxine,New Target,3717.17
970,iloperidone,New Target,3739.1
971,dinoprost,New Target,3741.19
972,mizolastine,New Target,3742.08
973,cefepime,New Target,3763.02
974,cladribine,New Target,3771.07
975,pheniramine,New Target,3773.81
976,thiothixene,New Target,3777.83
977,lincomycin hcl,New Target,3782.63
978,quercetin,New Target,3793.82
979,methyl-salicylate,New Target,3804.06
980,cyclothiazide,New Target,3804.87
981,lincomycin hydrochloride,New Target,3807.8
982,levobetaxolol,New Target,3820.95
983,sodium-nitroprusside,New Target,3832.25
984,propiverine,New Target,3833.7
985,tedizolid,New Target,3839.51
986,lenalidomide,New Target,3860.01
987,ofloxacin (floxin),New Target,3862.0
988,imatinib,New Target,3879.34
989,fenbendazole,New Target,3895.49
990,ramifenazone,New Target,3898.01
991,cefathiamidine,New Target,3901.04
992,guaiacol,New Target,3912.68
993,nefopam,New Target,3945.84
994,valaciclovir,New Target,3946.93
995,tedizolid-phosphate,New Target,3947.86
996,piroxicam,New Target,3951.55
997,flopropione,New Target,3956.41
998,brompheniramine,New Target,3963.46
999,biotin,New Target,3978.43
1000,tolazoline,New Target,3984.37
1001,pf-04971729,New Target,3992.89
1002,sumatriptan,New Target,4000.42
1003,primaquine phosphate,New Target,4015.46
1004,nilvadipine,New Target,4023.4
1005,pamabrom,New Target,4034.0
1006,nepafenac,New Target,4042.74
1007,butacaine,New Target,4044.31
1008,nicardipine,New Target,4047.83
1009,esmolol,New Target,4053.13
1010,cefepime,New Target,4055.57
1011,ipriflavone,New Target,4063.64
1012,cantharidin,New Target,4084.16
1013,tecovirimat,New Target,4088.04
1014,methyclothiazide,New Target,4102.59
1015,fluconazole,New Target,4103.8
1016,benzydamine,New Target,4106.33
1017,etravirine,New Target,4108.05
1018,ofloxacin,New Target,4128.48
1019,eupatilin,New Target,4143.59
1020,camylofine-chlorhydrate,New Target,4172.26
1021,metaxalone,New Target,4173.11
1022,aminophylline,New Target,4173.74
1023,procainamide,New Target,4173.91
1024,chlormadinone acetate,New Target,4176.38
1025,heptaminol,New Target,4186.01
1026,binimetinib,New Target,4192.27
1027,avibactam,New Target,4209.75
1028,enalapril,New Target,4215.13
1029,trimethoquinol,New Target,4216.66
1030,anlotinib,New Target,4233.32
1031,clotiapine,New Target,4255.69
1032,sulisobenzone,New Target,4263.93
1033,vortioxetine,New Target,4265.94
1034,chloroxine,New Target,4326.61
1035,balofloxacin,New Target,4327.8
1036,clindamycin,New Target,4329.9
1037,letosteine,New Target,4350.02
1038,monosodium-alpha-luminol,New Target,4361.85
1039,iguratimod,New Target,4375.97
1040,risedronate,New Target,4377.5
1041,croconazole,New Target,4385.26
1042,hexestrol,New Target,4399.74
1043,pyrithione-zinc,New Target,4407.78
1044,brimonidine,New Target,4430.3
1045,benazepril,New Target,4431.14
1046,dasatinib,New Target,4443.54
1047,hydroxychloroquine,New Target,4458.4
1048,nifekalant,New Target,4466.47
1049,furaltadone,New Target,4472.74
1050,etacrynic-acid,New Target,4483.37
1051,barnidipine,New Target,4488.58
1052,tolmetin,New Target,4495.83
1053,afloqualone,New Target,4510.29
1054,ganciclovir,New Target,4511.47
1055,proxyphylline,New Target,4519.55
1056,methoxamine,New Target,4519.73
1057,ethenzamide,New Target,4527.68
1058,firocoxib,New Target,4535.61
1059,omeprazole,New Target,4553.63
1060,eslicarbazepine-acetate,New Target,4561.49
1061,safinamide,New Target,4564.49
1062,megestrol-acetate,New Target,4590.01
1063,chlorpheniramine maleate,New Target,4619.94
1064,misoprostol,New Target,4621.48
1065,aniracetam,New Target,4621.91
1066,gliclazide,New Target,4636.36
1067,lincomycin,New Target,4650.0
1068,ranolazine,New Target,4650.38
1069,desvenlafaxine,New Target,4650.77
1070,betrixaban,New Target,4662.84
1071,emtricitabine,New Target,4665.91
1072,ampicillin,New Target,4677.88
1073,artemotil,New Target,4680.76
1074,brompheniramine maleate,New Target,4684.51
1075,levofloxacin,New Target,4695.72
1076,esomeprazole,New Target,4706.48
1077,sulbactam,New Target,4741.33
1078,propylhexedrine,New Target,4745.85
1079,ranolazine,New Target,4753.57
1080,etoricoxib,New Target,4756.29
1081,vesnarinone,New Target,4782.89
1082,hexylresorcinol,New Target,4801.28
1083,cyromazine,New Target,4818.73
1084,esmolol hcl,New Target,4876.45
1085,probenecid,New Target,4879.27
1086,niclosamide,New Target,4881.73
1087,bopindolol,New Target,4903.01
1088,trofosfamide,New Target,4926.55
1089,furaltadone hcl,New Target,4932.8
1090,alacepril,New Target,4935.84
1091,chloroquine,New Target,4941.12
1092,phthalylsulfathiazole,New Target,4946.62
1093,propoxycaine,New Target,4948.3
1094,sulfinpyrazone,New Target,4948.84
1095,sulfinpyrazone,New Target,4951.09
1096,sulpiride,New Target,4954.62
1097,nizofenone,New Target,4963.49
1098,tinazoline,New Target,4969.89
1099,duvelisib,New Target,4974.45
1100,erlotinib,New Target,4978.18
1101,valnoctamide,New Target,4982.94
1102,tegafur,New Target,4988.37
1103,pioglitazone hydrochloride,New Target,5000.9
1104,afatinib,New Target,5005.09
1105,quinine-ethyl-carbonate,New Target,5007.29
1106,pioglitazone,New Target,5018.79
1107,levomepromazine,New Target,5019.1
1108,atipamezole,New Target,5038.69
1109,etidronic-acid,New Target,5042.29
1110,octinoxate,New Target,5052.3
1111,azlocillin,New Target,5077.61
1112,canagliflozin,New Target,5103.92
1113,propantheline,New Target,5106.63
1114,oxcarbazepine,New Target,5118.84
1115,carbaril,New Target,5124.71
1116,asenapine maleate,New Target,5128.1
1117,niridazole,New Target,5142.94
1118,methyldopa,New Target,5162.59
1119,tilorone,New Target,5194.48
1120,carbinoxamine maleate,New Target,5219.4
1121,carbarsone,New Target,5230.37
1122,sulfabenzamide,New Target,5239.06
1123,levetiracetam,New Target,5266.8
1124,icotinib,New Target,5290.11
1125,minodronic-acid,New Target,5324.32
1126,azlocillin sodium salt,New Target,5340.22
1127,mephenytoin,New Target,5357.3
1128,amifostine,New Target,5358.4
1129,amprolium,New Target,5364.21
1130,climbazole,New Target,5366.13
1131,idelalisib,New Target,5387.09
1132,tetracaine,New Target,5401.27
1133,ciprofloxacin,New Target,5418.02
1134,ethosuximide,New Target,5463.45
1135,hexaminolevulinate,New Target,5465.55
1136,voriconazole,New Target,5474.44
1137,moclobemide,New Target,5487.11
1138,amiloride,New Target,5488.3
1139,tripelennamine,New Target,5534.74
1140,imidacloprid,New Target,5549.14
1141,pizotifen,New Target,5572.95
1142,diltiazem,New Target,5611.98
1143,tolonium,New Target,5616.63
1144,methocarbamol,New Target,5634.06
1145,rimantadine hydrochloride,New Target,5692.88
1146,trepibutone,New Target,5693.5
1147,cephalexin,New Target,5701.64
1148,pivagabine,New Target,5742.52
1149,salicylamide,New Target,5743.22
1150,cilostazol,New Target,5758.02
1151,doravirine,New Target,5781.86
1152,anethole,New Target,5800.11
1153,primidone,New Target,5800.9
1154,bacampicillin,New Target,5856.77
1155,mepivacaine,New Target,5863.52
1156,pimobendan,New Target,5867.14
1157,diphenhydramine,New Target,5894.1
1158,bromhexine,New Target,5896.35
1159,bupivacaine hydrochloride,New Target,5920.24
1160,mebicar,New Target,5946.12
1161,penciclovir,New Target,5949.32
1162,trimebutine,New Target,5954.75
1163,clemizole,New Target,5984.34
1164,thioguanine,New Target,5985.95
1165,medetomidine,New Target,6000.47
1166,ceftibuten,New Target,6016.67
1167,isradipine,New Target,6023.6
1168,bendazol,New Target,6074.0
1169,aklomide,New Target,6101.47
1170,ractopamine hcl,New Target,6111.43
1171,hexestrol,New Target,6117.18
1172,pridinol,New Target,6136.23
1173,levobupivacaine,New Target,6154.67
1174,propylparaben,New Target,6162.13
1175,bezafibrate,New Target,6171.26
1176,trimebutine maleate,New Target,6182.26
1177,bupivacaine,New Target,6190.25
1178,lanoconazole,New Target,6206.59
1179,etofenamate,New Target,6207.87
1180,irsogladine,New Target,6211.37
1181,iloprost,New Target,6221.45
1182,phenethicillin,New Target,6241.66
1183,proxymetacaine,New Target,6244.28
1184,talipexole,New Target,6248.68
1185,teriflunomide,New Target,6258.33
1186,bepotastine,New Target,6326.43
1187,fomocaine,New Target,6335.51
1188,tosufloxacin,New Target,6359.38
1189,lovastatin,New Target,6373.32
1190,sarafloxacin,New Target,6386.57
1191,pempidine,New Target,6401.22
1192,chlorquinaldol,New Target,6401.47
1193,acetyl-farnesyl-cysteine,New Target,6419.19
1194,relebactam,New Target,6423.13
1195,milnacipran,New Target,6440.71
1196,mofezolac,New Target,6471.91
1197,oxybenzone,New Target,6486.39
1198,l-arginine,New Target,6504.43
1199,doxofylline,New Target,6513.24
1200,pravastatin,New Target,6529.38
1201,sobrepin,New Target,6543.74
1202,paramethadione,New Target,6553.35
1203,entecavir,New Target,6555.88
1204,obidoxime,New Target,6558.03
1205,artesunate,New Target,6558.34
1206,lisinopril,New Target,6584.9
1207,busulfan,New Target,6590.69
1208,zilpaterol,New Target,6590.86
1209,denotivir,New Target,6594.04
1210,pramipexole,New Target,6600.63
1211,phenylbenzimidazole-sulfonic-acid,New Target,6601.32
1212,penicillin-v-potassium,New Target,6604.17
1213,iobenguane,New Target,6612.37
1214,rimantadine,New Target,6616.3
1215,aprindine,New Target,6625.7
1216,fingolimod,New Target,6631.5
1217,ractopamine,New Target,6639.37
1218,pemigatinib,New Target,6684.84
1219,carbimazole,New Target,6685.34
1220,sulfamethizole,New Target,6697.17
1221,ibuprofen,New Target,6721.69
1222,vismodegib,New Target,6724.23
1223,oxibendazole,New Target,6773.6
1224,tavaborole,New Target,6813.95
1225,norepinephrine,New Target,6815.89
1226,lacidipine,New Target,6827.19
1227,moxonidine,New Target,6853.3
1228,tosufloxacin,New Target,6884.3
1229,hydralazine,New Target,6914.39
1230,oxyfedrine,New Target,6915.72
1231,menbutone,New Target,6926.15
1232,cyclopenthiazide,New Target,6935.07
1233,beta-hydroxy-beta-methylbutyrate,New Target,6941.72
1234,acenocoumarol,New Target,6958.1
1235,pravastatin sodium,New Target,6960.2
1236,sulfisoxazole-acetyl,New Target,7011.04
1237,amitraz,New Target,7039.69
1238,osilodrostat,New Target,7048.44
1239,sulfaguanidine,New Target,7071.95
1240,iomazenil,New Target,7111.81
1241,ozagrel,New Target,7164.93
1242,anecortave-acetate,New Target,7217.81
1243,tocainide hydrochloride,New Target,7220.84
1244,bretylium,New Target,7251.21
1245,ursodiol,New Target,7270.03
1246,clorsulon,New Target,7278.44
1247,gemfibrozil,New Target,7279.59
1248,liranaftate,New Target,7335.87
1249,pilocarpine,New Target,7338.18
1250,milnacipran hydrochloride,New Target,7361.69
1251,potassium-canrenoate,New Target,7365.61
1252,lesinurad,New Target,7365.91
1253,melatonin,New Target,7385.32
1254,sulbactam,New Target,7390.33
1255,bilastine,New Target,7402.51
1256,fluvastatin,New Target,7485.03
1257,hydrochlorothiazide,New Target,7485.45
1258,ibuprofen-(s),New Target,7494.56
1259,amoxapine,New Target,7525.33
1260,chenodeoxycholic-acid,New Target,7526.85
1261,larotrectinib,New Target,7528.3
1262,diacerein,New Target,7540.76
1263,albuterol,New Target,7545.04
1264,isopentyl-4-methoxycinnamate,New Target,7550.01
1265,nalidixic-acid,New Target,7555.06
1266,aminopentamide,New Target,7578.1
1267,cholic-acid,New Target,7610.78
1268,tioguanine,New Target,7637.44
1269,almitrine,New Target,7640.05
1270,methacholine,New Target,7645.0
1271,felodipine,New Target,7659.21
1272,cefoxitin,New Target,7666.32
1273,taltirelin,New Target,7675.66
1274,dyclonine,New Target,7698.21
1275,ubenimex,New Target,7705.18
1276,theobromine,New Target,7747.9
1277,tocainide,New Target,7827.27
1278,meclofenoxate,New Target,7848.28
1279,sarpogrelate,New Target,7877.6
1280,phenacaine,New Target,7894.03
1281,apixaban,New Target,7898.98
1282,brolitene,New Target,7902.34
1283,prochlorperazine,New Target,7903.09
1284,oxantel,New Target,7940.21
1285,dyphylline,New Target,7979.93
1286,efavirenz,New Target,7998.6
1287,guanadrel,New Target,8109.51
1288,zileuton,New Target,8136.96
1289,eprobemide,New Target,8148.91
1290,cyclopentolate,New Target,8168.2
1291,temozolomide,New Target,8231.57
1292,mesoridazine,New Target,8249.07
1293,decamethonium,New Target,8253.99
1294,thiamylal,New Target,8278.52
1295,thymol,New Target,8286.29
1296,masoprocol,New Target,8292.65
1297,ilaprazole,New Target,8306.51
1298,desvenlafaxine,New Target,8310.32
1299,romifidine,New Target,8341.16
1300,chlorpromazine,New Target,8360.67
1301,pilsicainide,New Target,8405.59
1302,denopamine,New Target,8421.3
1303,lidamidine,New Target,8425.47
1304,ropivacaine,New Target,8434.22
1305,deoxycholic-acid,New Target,8443.08
1306,synephrine (oxedrine),New Target,8462.34
1307,dexmedetomidine,New Target,8478.77
1308,mirabegron,New Target,8495.26
1309,etofylline,New Target,8538.57
1310,piracetam,New Target,8562.84
1311,methyldopate,New Target,8594.94
1312,oxfendazole,New Target,8609.46
1313,dantrolene,New Target,8622.63
1314,uracil-mustard,New Target,8633.72
1315,naftifine,New Target,8641.71
1316,ascorbic-acid,New Target,8651.13
1317,etofylline-clofibrate,New Target,8669.53
1318,alverine,New Target,8720.88
1319,diphenidol,New Target,8731.1
1320,n-acetylcarnosine,New Target,8751.11
1321,acetyl-l-leucine,New Target,8790.97
1322,carbendazim,New Target,8791.99
1323,eugenol,New Target,8806.0
1324,acetohexamide,New Target,8811.66
1325,sorbic-acid,New Target,8824.86
1326,sulbactam-pivoxil,New Target,8864.81
1327,cefamandole,New Target,8911.8
1328,captopril,New Target,8912.1
1329,sarecycline,New Target,8935.08
1330,methsuximide,New Target,8936.94
1331,bemegride,New Target,8954.12
1332,diethyltoluamide,New Target,8967.7
1333,stavudine,New Target,8968.26
1334,prednisolone-acetate,New Target,8984.88
1335,l-arginine hcl,New Target,8993.32
1336,isopropamide-iodide,New Target,9049.63
1337,flibanserin,New Target,9074.45
1338,doxylamine,New Target,9076.44
1339,hydroxyamphetamine,New Target,9107.68
1340,suplatast,New Target,9145.62
1341,piketoprofen,New Target,9156.38
1342,doxylamine succinate,New Target,9164.48
1343,glimepiride,New Target,9166.16
1344,letrozole,New Target,9181.36
1345,tuaminoheptane,New Target,9199.77
1346,dobutamine,New Target,9203.41
1347,atenolol-(-),New Target,9204.24
1348,pyrethrins,New Target,9223.25
1349,atenolol-(+/-),New Target,9267.92
1350,lisadimate,New Target,9357.58
1351,dipyrocetyl,New Target,9359.45
1352,floxuridine,New Target,9361.8
1353,topiroxostat,New Target,9380.33
1354,bambuterol,New Target,9380.65
1355,ifenprodil tartrate,New Target,9463.05
1356,crystal-violet,New Target,9480.24
1357,amperozide,New Target,9481.6
1358,perphenazine,New Target,9485.16
1359,amdinocillin,New Target,9493.0
1360,biperiden,New Target,9493.62
1361,triamcinolone,New Target,9499.65
1362,3-bromocamphor,New Target,9516.4
1363,linezolid,New Target,9527.6
1364,antazoline,New Target,9533.85
1365,bambuterol,New Target,9555.48
1366,docusate,New Target,9592.71
1367,malic-acid,New Target,9609.62
1368,quinine,New Target,9626.98
1369,pentoxifylline,New Target,9629.86
1370,riluzole,New Target,9631.76
1371,choline-alfoscerate,New Target,9647.68
1372,biperiden hcl,New Target,9650.14
1373,methylthiouracil,New Target,9656.77
1374,minoxidil,New Target,9684.89
1375,bisacodyl,New Target,9749.67
1376,chromium-picolinate,New Target,9756.5
1377,diethylcarbamazine,New Target,9771.29
1378,chlorphenesin,New Target,9824.57
1379,cyclandelate,New Target,9832.1
1380,bismuth-subgallate,New Target,9860.56
1381,apraclonidine,New Target,9888.83
1382,dropropizine,New Target,9931.79
1383,flupirtine,New Target,9950.87
1384,betamipron,New Target,9975.25
1385,pirenoxine,New Target,9991.44
1386,quinine,New Target,10011.38
1387,epirizole,New Target,10013.82
1388,nitazoxanide,New Target,10019.72
1389,edrophonium,New Target,10061.0
1390,etomidate,New Target,10113.32
1391,amrinone,New Target,10125.58
1392,isocarboxazid,New Target,10138.47
1393,miglustat,New Target,10142.89
1394,l-hydroxyproline,New Target,10176.69
1395,l-citrulline,New Target,10181.01
1396,tranexamic-acid,New Target,10181.49
1397,nisoldipine,New Target,10182.11
1398,prednisolone acetate,New Target,10204.67
1399,psoralen,New Target,10210.85
1400,isosorbide,New Target,10222.26
1401,mafenide,New Target,10228.5
1402,epinephrine,New Target,10235.89
1403,budipine,New Target,10262.0
1404,sevoflurane,New Target,10264.27
1405,azathioprine,New Target,10291.18
1406,nisoldipine,New Target,10303.82
1407,carbachol,New Target,10439.38
1408,vigabatrin,New Target,10448.18
1409,potassium-p-aminobenzoate,New Target,10464.9
1410,clopidol,New Target,10494.89
1411,etilefrine,New Target,10502.67
1412,eliglustat,New Target,10515.47
1413,lidocaine,New Target,10538.72
1414,trolox,New Target,10634.62
1415,clorotepine,New Target,10658.25
1416,haloprogin,New Target,10660.33
1417,flurbiprofen-(+/-),New Target,10711.11
1418,cilazapril monohydrate,New Target,10711.75
1419,buflomedil,New Target,10741.77
1420,quinidine,New Target,10787.41
1421,tiaramide,New Target,10805.76
1422,hydroquinidine,New Target,10824.42
1423,pargyline,New Target,10841.23
1424,dimethisoquin,New Target,10848.05
1425,flurbiprofen-(s)-(+),New Target,10879.76
1426,pixantrone,New Target,10894.96
1427,ramosetron,New Target,10901.96
1428,cilazapril,New Target,10949.96
1429,metirosine,New Target,10989.64
1430,dapagliflozin,New Target,11017.01
1431,sulfanitran,New Target,11025.44
1432,nonoxinol 9,New Target,11032.32
1433,metformin,New Target,11050.26
1434,anagrelide,New Target,11064.87
1435,caffeine,New Target,11093.35
1436,formestane,New Target,11130.17
1437,halothane,New Target,11132.31
1438,pramiracetam,New Target,11152.79
1439,benznidazole,New Target,11181.49
1440,sasapyrine,New Target,11226.27
1441,ethotoin,New Target,11243.32
1442,pimavanserin,New Target,11251.16
1443,debrisoquin,New Target,11251.92
1444,pemirolast,New Target,11300.26
1445,memantine,New Target,11328.99
1446,timonacic,New Target,11347.24
1447,thiram,New Target,11370.45
1448,tolfenamic-acid,New Target,11390.74
1449,flurbiprofen-axetil,New Target,11391.39
1450,trapidil,New Target,11426.26
1451,nitrofurantoin,New Target,11446.05
1452,tridihexethyl,New Target,11458.8
1453,edoxudine,New Target,11483.34
1454,clofedanol,New Target,11486.24
1455,lobeline,New Target,11526.39
1456,dipeptamin,New Target,11554.14
1457,rivastigmine,New Target,11556.18
1458,kinetin,New Target,11697.6
1459,clofarabine,New Target,11778.76
1460,lobeline hydrochloride,New Target,11814.74
1461,levodropropizine,New Target,11827.53
1462,guaifenesin,New Target,11859.11
1463,fosfomycin calcium,New Target,12015.54
1464,tranilast,New Target,12064.89
1465,acyclovir,New Target,12083.53
1466,protionamide,New Target,12083.56
1467,cabagin,New Target,12088.74
1468,cadralazine,New Target,12111.62
1469,sulfaquinoxaline,New Target,12113.79
1470,carbadox,New Target,12121.41
1471,5-fluorouracil,New Target,12139.38
1472,chlorphensin-carbamate,New Target,12192.74
1473,acedapsone,New Target,12215.4
1474,hydroquinidine,New Target,12219.08
1475,hesperetin,New Target,12231.71
1476,venlafaxine,New Target,12283.16
1477,fosfomycin,New Target,12292.1
1478,bethanechol,New Target,12292.96
1479,droxidopa,New Target,12298.12
1480,nefopam,New Target,12380.85
1481,sulfathiazole,New Target,12407.81
1482,sodium-picosulfate,New Target,12448.43
1483,ibutilide,New Target,12495.68
1484,physostigmine,New Target,12539.55
1485,amrubicin,New Target,12544.63
1486,adiphenine,New Target,12569.53
1487,valganciclovir,New Target,12583.32
1488,thioctic-acid,New Target,12644.49
1489,pimobendan,New Target,12732.35
1490,oseltamivir-phosphate,New Target,12732.48
1491,tinoridine,New Target,12892.87
1492,propofol,New Target,12924.01
1493,cinchophen,New Target,12947.11
1494,furazolidone,New Target,12961.6
1495,eplerenone,New Target,12970.17
1496,metaproterenol,New Target,13003.69
1497,methyl-aminolevulinate,New Target,13014.62
1498,sulfamonomethoxine,New Target,13022.14
1499,amezinium,New Target,13103.68
1500,ropinirole,New Target,13124.04
1501,mebrofenin,New Target,13125.57
1502,floxuridine,New Target,13181.4
1503,ectoine,New Target,13204.28
1504,creatinol-phosphate,New Target,13261.79
1505,albendazole,New Target,13338.18
1506,disulfiram,New Target,13344.15
1507,prilocaine,New Target,13352.08
1508,imipramine,New Target,13367.85
1509,quinethazone,New Target,13387.13
1510,pyrethrins,New Target,13434.2
1511,dinotefuran,New Target,13452.83
1512,levomenthol,New Target,13453.79
1513,leflunomide,New Target,13468.12
1514,diclazuril,New Target,13551.27
1515,prilocaine hydrochloride,New Target,13564.78
1516,melevodopa,New Target,13564.82
1517,meglutol,New Target,13568.2
1518,nicorandil,New Target,13592.62
1519,guanethidine,New Target,13647.6
1520,lamivudine,New Target,13665.19
1521,2-hydroxyethyl-salicylate,New Target,13683.48
1522,tranylcypromine,New Target,13753.37
1523,guanfacine,New Target,13775.25
1524,acamprosate,New Target,13802.24
1525,sodium-ascorbate,New Target,13899.94
1526,zalcitabine,New Target,13917.07
1527,amlodipine besylate (norvasc),New Target,13961.64
1528,synephrine,New Target,13972.42
1529,ethopabate,New Target,14015.9
1530,lamivudine,New Target,14036.2
1531,acitazanolast,New Target,14096.18
1532,crotamiton,New Target,14103.88
1533,amlodipine,New Target,14113.8
1534,oxelaidin,New Target,14116.4
1535,belinostat,New Target,14119.7
1536,metomidate,New Target,14154.86
1537,memantine hcl,New Target,14224.39
1538,levamlodipine,New Target,14267.27
1539,asenapine,New Target,14269.36
1540,cyclovalone,New Target,14274.59
1541,oxybuprocaine,New Target,14349.73
1542,nifenazone,New Target,14369.97
1543,metaproterenol,New Target,14412.85
1544,cilastatin,New Target,14415.35
1545,deferasirox-iron-chelate,New Target,14536.7
