rank,drug_name,target,binding_score
188,lenvatinib,New Target,361.74
189,dextromethorphan,New Target,362.58
190,buparvaquone,New Target,364.57
191,noscapine hydrochloride,New Target,365.01
192,glycopyrrolate,New Target,366.16
193,zoledronic-acid,New Target,369.14
194,clebopride,New Target,371.8
195,clozapine,New Target,372.38
196,bifendate,New Target,373.63
197,ibandronate,New Target,374.04
198,prasugrel,New Target,374.13
199,nalfurafine,New Target,375.59
200,cimetidine,New Target,377.41
201,ampiroxicam,New Target,383.18
202,pimethixene,New Target,383.45
203,salmeterol,New Target,385.54
204,sodium-tetradecyl-sulfate,New Target,386.55
205,prednisolone-acetate,New Target,389.03
206,tacrine,New Target,389.43
207,irbesartan,New Target,390.0
208,prazosin,New Target,390.52
209,epinastine,New Target,390.58
210,etizolam,New Target,390.96
211,orbifloxacin,New Target,391.06
212,ixazomib,New Target,391.56
213,tafluprost,New Target,393.01
214,prednisolone sodium phosphate,New Target,393.19
215,neo-gilurytmal,New Target,393.56
216,losartan,New Target,395.69
217,pirlindole mesylate,New Target,397.76
218,larotrectinib,New Target,397.81
219,naftopidil dihcl,New Target,397.82
220,artemisinin,New Target,398.05
221,azatadine,New Target,398.49
222,tibolone,New Target,399.59
223,hydrocortisone-valerate,New Target,403.89
224,maxacalcitol,New Target,405.29
225,pyrimethamine,New Target,405.91
226,cytisine,New Target,407.01
227,zolimidine,New Target,410.68
228,3-(4-methylbenzylidene)camphor,New Target,411.66
229,enzalutamide,New Target,414.19
230,phensuximide,New Target,416.11
231,lafutidine,New Target,418.11
232,hexetidine,New Target,422.28
233,betamethasone-valerate,New Target,422.84
234,mestranol,New Target,428.01
235,brexpiprazole,New Target,428.46
236,ondansetron,New Target,430.21
237,mianserin,New Target,431.15
238,tetrabenazine,New Target,431.37
239,prednisone,New Target,436.37
240,promethazine,New Target,440.99
241,afobazole,New Target,442.4
242,tetracycline,New Target,451.05
243,amisulpride,New Target,453.75
244,aclidinium,New Target,454.75
245,methylprednisolone,New Target,455.15
246,almotriptan,New Target,456.46
247,ramelteon,New Target,457.72
248,roxatidine-acetate,New Target,459.66
249,doripenem,New Target,460.0
250,pyriproxyfen,New Target,464.78
251,haloperidol,New Target,464.98
252,levo-phencynonate,New Target,466.46
253,donepezil,New Target,466.87
254,risperidone,New Target,468.41
255,dorzolamide hcl,New Target,469.93
256,meloxicam,New Target,471.28
257,garenoxacin,New Target,472.82
258,prulifloxacin,New Target,474.53
259,phentolamine,New Target,475.32
260,alectinib,New Target,476.41
261,pazufloxacin,New Target,477.43
262,rotigotine,New Target,480.4
263,mebeverine,New Target,481.15
264,medroxyprogesterone,New Target,481.51
265,perospirone,New Target,481.65
266,clenbuterol hydrochloride,New Target,482.38
267,isoetharine,New Target,483.67
268,olaparib,New Target,484.89
269,ibudilast,New Target,485.92
270,valsartan,New Target,492.09
271,alcaftadine,New Target,493.98
272,halofuginone,New Target,495.48
273,naftidrofuryl,New Target,497.07
274,hydrocortisone valerate,New Target,497.96
275,benzthiazide,New Target,503.46
276,noscapine,New Target,505.2
277,hydroxyprogesterone,New Target,505.77
278,desisobutyryl-ciclesonide,New Target,506.93
279,thonzylamine,New Target,512.97
280,ormetoprim,New Target,514.99
281,molindone,New Target,518.6
282,hyoscyamine,New Target,518.67
283,morantel,New Target,518.69
284,propafenone,New Target,519.22
285,solifenacin-succinate,New Target,523.99
286,tizanidine,New Target,526.3
287,tebipenem pivoxil,New Target,526.89
288,desonide,New Target,527.68
289,mephenesin,New Target,530.32
290,parecoxib,New Target,532.97
291,nadifloxacin,New Target,534.06
292,vinpocetine,New Target,538.83
293,nonivamide,New Target,540.91
294,valbenazine,New Target,541.62
295,histamine,New Target,543.68
296,dapiprazole,New Target,545.79
297,nimodipine,New Target,546.22
298,ethinyl-estradiol,New Target,547.47
299,dotinurad,New Target,550.63
300,norethindrone acetate,New Target,551.24
301,prucalopride,New Target,552.05
302,tulobuterol,New Target,552.78
303,ribociclib,New Target,561.31
304,indapamide,New Target,562.27
305,droxicam,New Target,566.39
306,apomorphine hydrochloride,New Target,567.96
307,enisamium-iodide,New Target,568.79
308,carteolol,New Target,570.12
309,chlorothymol,New Target,573.0
310,bicyclol,New Target,573.62
311,candesartan,New Target,576.19
312,bortezomib,New Target,580.96
313,levalbuterol,New Target,581.43
314,chidamide,New Target,581.68
315,benproperine,New Target,582.07
316,fasudil,New Target,582.46
317,zolmitriptan,New Target,587.53
318,racecadotril,New Target,593.32
319,rotundine,New Target,593.47
320,piperidolate,New Target,597.09
321,fludrocortisone-acetate,New Target,598.6
322,tepoxalin,New Target,598.64
323,tymazoline,New Target,604.14
324,metoxibutropate,New Target,606.87
325,pf-06463922,New Target,608.19
326,norethindrone-acetate,New Target,610.25
327,pregnenolone,New Target,612.11
328,lurasidone,New Target,613.52
329,norgestimate,New Target,613.88
330,budesonide,New Target,615.7
331,resveratrol,New Target,620.43
332,gestodene,New Target,621.54
333,famotidine,New Target,626.23
334,cariprazine,New Target,629.13
335,sodium-gualenate,New Target,629.29
336,loratadine,New Target,630.28
337,moexipril,New Target,630.96
338,febuxostat,New Target,639.77
339,lemborexant,New Target,640.06
340,paliperidone,New Target,643.47
341,trelagliptin,New Target,644.77
342,selexipag,New Target,645.1
343,methylprednisolone-sodium-succinate,New Target,647.7
